Model,Accuracy,Precision,Recall,F1 Score
SVM,0.8736919743696120,0.738996138996139,0.15691096901131300,0.25885853394644300
RF,0.8176370257686810,0.40997119872877100,0.6768322675848500,0.5106382978723400
XGB,0.8536624717650860,0.35047846889952200,0.04804066240367270,0.0844989185291997
Ensemble,0.8706264693679990,0.84663187451649,0.8706264693679990,0.27955333076626900
